Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,2,2,0,0
2020-03-03,0,2,0,0
2020-03-04,2,4,0,0
2020-03-05,-2,2,0,0
2020-03-06,-1,1,0,0
2020-03-07,4,5,0,0
2020-03-08,6,11,0,0
2020-03-09,7,18,0,0
2020-03-10,7,25,0,0
2020-03-11,6,31,0,0
2020-03-12,10,41,0,0
2020-03-13,11,52,0,0
2020-03-14,37,89,0,0
2020-03-15,49,138,0,0
2020-03-16,95,233,0,0
2020-03-17,81,314,0,0
2020-03-18,110,424,1,1
2020-03-19,112,536,1,2
2020-03-20,143,679,2,4
2020-03-21,269,948,1,5
2020-03-22,218,1166,5,10
2020-03-23,241,1407,5,15
2020-03-24,314,1721,11,26
2020-03-25,327,2048,11,37
2020-03-26,571,2619,12,49
2020-03-27,479,3098,16,65
2020-03-28,610,3708,17,82
2020-03-29,723,4431,25,107
2020-03-30,560,4991,20,127
2020-03-31,452,5443,23,150
2020-04-01,936,6379,29,179
2020-04-02,868,7247,35,214
2020-04-03,717,7964,26,240
2020-04-04,735,8699,37,277
2020-04-05,713,9412,25,302
2020-04-06,591,10003,28,330
2020-04-07,490,10493,26,356
2020-04-08,761,11254,41,397
2020-04-09,702,11956,40,437
2020-04-10,754,12710,34,471
2020-04-11,672,13382,28,499
2020-04-12,547,13929,38,537
2020-04-13,567,14496,31,568
2020-04-14,441,14937,34,602
2020-04-15,677,15614,35,637
2020-04-16,707,16321,34,671
2020-04-17,680,17001,31,702
2020-04-18,697,17698,28,730
2020-04-19,717,18415,33,763
2020-04-20,351,18766,30,793
2020-04-21,417,19183,26,819
2020-04-22,616,19799,28,847
2020-04-23,514,20313,24,871
2020-04-24,503,20816,37,908
2020-04-25,563,21379,21,929
2020-04-26,474,21853,30,959
2020-04-27,264,22117,23,982
2020-04-28,262,22379,24,1006
2020-04-29,467,22846,20,1026
2020-04-30,451,23297,27,1053
2020-05-01,424,23721,14,1067
2020-05-02,406,24127,20,1087
2020-05-03,244,24371,17,1104
2020-05-04,204,24575,20,1124
2020-05-05,176,24751,22,1146
2020-05-06,458,25209,10,1156
2020-05-07,406,25615,15,1171
2020-05-08,377,25992,16,1187
2020-05-09,407,26399,9,1196
2020-05-10,327,26726,11,1207
2020-05-11,176,26902,10,1217
2020-05-12,176,27078,9,1226
2020-05-13,326,27404,16,1242
2020-05-14,254,27658,10,1252
2020-05-15,256,27914,5,1257
2020-05-16,299,28213,10,1267
2020-05-17,273,28486,10,1277
2020-05-18,233,28719,13,1290
2020-05-19,214,28933,5,1295
2020-05-20,325,29258,10,1305
2020-05-21,363,29621,11,1316
2020-05-22,313,29934,11,1327
2020-05-23,339,30273,5,1332
2020-05-24,355,30628,10,1342
2020-05-25,156,30784,10,1352
2020-05-26,154,30938,11,1363
2020-05-27,265,31203,9,1372
2020-05-28,335,31538,10,1382
2020-05-29,289,31827,9,1391
2020-05-30,347,32174,11,1402
2020-05-31,315,32489,11,1413
